sub,block,stim,stim_num,phc1,phc2,phc3,phc4,phc5,decrease
103,2,c3.jpg,1,121.4261718,60.47766921,3.539925525,-134.5249291,-101.8621475,223.2883193
103,2,c20.jpg,2,39.28079219,118.1191797,-59.04715104,-166.8069061,-16.15239531,55.4331875
103,2,c12.jpg,3,-33.96911716,-118.2115773,-105.3064773,40.67126377,277.1597964,-311.12891356
103,2,c24.jpg,4,-113.465727,28.20337834,-20.19202496,55.69009846,-45.52077089,-67.94495610999999
103,2,c22.jpg,5,-32.48270444,65.29355641,-43.61863279,-46.71044821,-179.3781382,146.89543376
103,2,c14.jpg,6,7.39379667,-110.8215817,-23.33064348,-19.42413965,57.30938032,-49.91558365
103,2,c9.jpg,7,-2.782403557,-69.11398583,41.32443335,-134.7926244,-74.71209928,71.92969572300001
103,2,c15.jpg,8,60.30917561,17.92895511,-223.7358467,-170.0670437,9.453955327,50.855220282999994
103,2,c7.jpg,9,-2.941273752,2.887808204,83.69168008,133.8354959,-63.69182692,60.750553167999996
103,2,c4.jpg,10,-28.92719998,-88.41292549,69.72182966,30.99796762,-171.3184169,142.39121691999998
103,2,c23.jpg,11,76.12450713,-114.2253348,-68.48646249,-202.8016049,-214.0535407,290.17804783
103,2,c5.jpg,12,152.4453839,-27.40112415,-22.08625884,-94.4640706,-258.1099761,410.55535999999995
105,1,c8.jpg,1,55.80122887,53.58799535,-54.59984102,31.7319145,37.58520454,18.216024330000003
105,1,c1.jpg,2,27.10356888,5.234996705,4.315795023,24.86375265,-35.52234069,62.625909570000005
105,1,c18.jpg,3,-9.545737957,-21.79359567,-48.68684608,93.75010109,35.32218357,-44.867921527
105,1,c10.jpg,4,-7.13232961,57.01276226,15.78694926,66.68275389,56.31148093,-63.44381054
105,1,c17.jpg,5,21.58886362,77.86224391,113.4331807,35.20494054,-0.8968232807,22.485686900700003
105,1,c16.jpg,6,164.5480591,165.3699936,53.70622481,-16.24965372,21.05709715,143.49096194999998
105,1,c13.jpg,7,10.13962267,64.27590085,64.58239202,11.91592449,5.727856542,4.411766128
105,1,c6.jpg,8,83.01752665,45.43014959,41.11814668,-28.09020908,114.0738691,-31.056342450000002
105,1,c2.jpg,9,66.71835333,1.104591545,9.203640219,-23.42564367,59.25198873,7.466364599999999
105,1,c21.jpg,10,94.23729489,78.38139255,16.06888818,113.8711285,102.5284568,-8.29116191
105,1,c19.jpg,11,5.067895023,11.03416915,35.85190178,40.8970989,-64.04774363,69.115638653
105,1,c11.jpg,12,11.44348865,9.228138397,18.47811034,27.15467315,25.56869213,-14.125203479999998
106,1,c17.jpg,1,138.5002599,-29.61049377,60.83190516,-50.32003695,48.00243456,90.49782534
106,1,c8.jpg,2,31.25780131,107.014856,65.1543616,35.25068996,14.2010355,17.05676581
106,1,c1.jpg,3,-27.92599824,126.7254662,145.2362806,-57.19314223,13.98692469,-41.91292293
106,1,c11.jpg,4,-78.41409693,135.9267351,97.63865062,36.56430654,-28.9673235,-49.44677343
106,1,c2.jpg,5,145.2649323,82.47403238,-2.189443613,-107.0063817,38.59414359,106.67078871
106,1,c21.jpg,6,218.8041697,205.0199553,238.0434371,-60.29858168,8.453797893,210.350371807
106,1,c6.jpg,7,142.416171,72.87032625,115.8590414,136.1979188,145.873456,-3.457285000000013
106,1,c10.jpg,8,165.9683497,167.1438738,74.26166297,11.4269667,-62.71976918,228.68811888
106,1,c13.jpg,9,11.65126097,115.0463807,-7.013060607,215.3290992,107.3085705,-95.65730953
106,1,c16.jpg,10,158.3709469,53.45311332,107.8837914,19.28481045,-111.2815506,269.6524975
106,1,c19.jpg,11,151.2077831,182.7960047,25.70351552,76.9364317,39.55281555,111.65496755000001
106,1,c18.jpg,12,205.1632778,23.30205709,53.65452016,-14.55468508,2.27243154,202.89084626
107,2,c21.jpg,1,99.82830666,-5.970793172,38.98356202,36.71843858,357.2774594,-257.44915274
107,2,c11.jpg,2,-187.807764,155.3889745,42.69073218,152.1907813,-41.96320235,-145.84456165
107,2,c6.jpg,3,73.29816469,135.2188111,-45.75630023,232.0663442,-90.64701744,163.94518212999998
107,2,c1.jpg,4,-100.8374337,-121.6284231,29.64454781,-16.51626358,282.2555567,-383.0929904
107,2,c10.jpg,5,129.5758876,-9.922917542,193.2193377,-153.3969366,-33.56360253,163.13949012999998
107,2,c17.jpg,6,90.51839966,37.04449583,-11.40982678,-46.18281907,-271.2501811,361.76858076
107,2,c16.jpg,7,109.3642236,-122.2841817,154.440445,70.83891236,-267.6969058,377.0611294
107,2,c2.jpg,8,50.15462786,-440.5665131,-77.43075661,0.3734836543,161.8566001,-111.70197224
107,2,c19.jpg,9,79.44126469,64.05640693,-125.7130465,70.63757712,-257.4743818,336.91564649
107,2,c18.jpg,10,145.3793668,-97.56529082,178.1772593,236.5766429,1.863264009,143.516102791
107,2,c8.jpg,11,-54.04320352,-53.41395832,118.5123515,186.9599671,153.5534854,-207.59668892
107,2,c13.jpg,12,-614.2636945,19.5072435,-4.439674063,58.26171736,414.8964822,-1029.1601767
110,2,c15.jpg,1,-57.28391879,-16.97710384,81.85677777,-69.66032333,-91.12309111,33.83917232
110,2,c12.jpg,2,-66.36933409,-11.58814434,88.73208738,26.12069587,-57.63480568,-8.734528409999996
110,2,c24.jpg,3,30.12227282,-53.83507968,-160.1210875,-72.99945654,41.30745809,-11.185185269999998
110,2,c5.jpg,4,51.20678451,-85.81718994,-61.72230871,46.52188355,27.46089932,23.74588519
110,2,c14.jpg,5,2.005916106,15.49098091,75.23551256,-32.81939463,-55.00707914,57.012995246
110,2,c4.jpg,6,-27.64967943,19.28277915,-80.14828792,177.4547684,52.93992294,-80.58960237
110,2,c7.jpg,7,-54.59107922,14.02462146,56.08529453,4.383609386,5.878217904,-60.469297124
110,2,c22.jpg,8,10.59976804,101.8262822,-24.1601883,-36.31229956,-26.53370909,37.13347713
110,2,c23.jpg,9,-24.66915927,-13.43708238,15.78849367,-23.95222642,57.34043534,-82.00959461
110,2,c3.jpg,10,97.28150398,-84.84534316,11.70314946,2.518600834,48.96525453,48.316249449999994
110,2,c20.jpg,11,94.95553505,-92.02591869,-79.50216806,72.95872401,117.8490904,-22.89355535
110,2,c9.jpg,12,76.19337905,-78.26574948,-32.75360486,102.0405404,6.98156636,69.21181269
111,1,c23.jpg,1,118.5669914,2.455550856,2.174223842,51.03236387,109.5351726,9.03181880000001
111,1,c12.jpg,2,44.16269061,-85.85128009,-147.4915183,-30.99415677,-51.78820961,95.95090022
111,1,c3.jpg,3,-43.28961153,62.89172499,135.9727553,26.15980648,-149.7280905,106.43847897
111,1,c9.jpg,4,44.84357983,78.27496078,-40.57265382,-70.5671891,-52.54396596,97.38754579
111,1,c5.jpg,5,58.18591956,85.18495337,59.36465935,104.7410727,97.47794348,-39.29202391999999
111,1,c24.jpg,6,-46.10993494,-58.13064536,-74.4068658,10.69263718,-49.53473958,3.424804639999998
111,1,c7.jpg,7,83.99136556,-1.79228159,162.2826068,15.88458178,71.17807437,12.813291190000001
111,1,c15.jpg,8,119.7360505,40.19375647,-12.70111017,104.5263258,94.75902828,24.97702222000001
111,1,c20.jpg,9,73.39552507,54.46781015,-44.54407797,-17.15397407,11.01379918,62.381725890000006
111,1,c4.jpg,10,110.2223488,-79.70238213,27.10338549,52.05449656,22.14913037,88.07321843
111,1,c14.jpg,11,-68.48765289,52.04071743,152.8281572,61.28859585,-75.1425485,6.654895609999997
111,1,c22.jpg,12,77.04175876,-67.68148851,64.68457801,132.0991424,-75.35672131,152.39848007
112,2,c2.jpg,1,346.9534519,204.6306762,312.8511186,177.6602875,195.1744871,151.7789648
112,2,c6.jpg,2,100.4266584,206.8380649,192.3288864,30.32462572,4.977540455,95.449117945
112,2,c11.jpg,3,52.85338253,146.8604213,234.4963142,151.9029059,92.17440401,-39.321021480000006
112,2,c16.jpg,4,240.9136164,157.5098296,117.6631006,60.10636614,111.7741042,129.1395122
112,2,c13.jpg,5,270.227906,277.8269248,241.2086866,222.128515,280.597207,-10.369301000000007
112,2,c19.jpg,6,122.6969771,197.5313048,125.0852179,31.70863606,97.0872968,25.609680299999994
112,2,c10.jpg,7,291.0148053,111.2059637,178.2025641,96.9910553,85.81502867,205.19977662999997
112,2,c18.jpg,8,278.8921432,168.9646581,184.3028912,119.0629976,138.1717187,140.7204245
112,2,c1.jpg,9,106.6549968,84.52201327,174.8656003,189.3991907,33.69768318,72.95731362000001
112,2,c21.jpg,10,172.3141001,147.7362909,127.4352669,198.6415899,254.0119051,-81.69780500000002
112,2,c8.jpg,11,203.7120043,255.6711147,176.4680735,-13.21898411,156.6075742,47.1044301
112,2,c17.jpg,12,204.5784435,193.1360262,225.9793265,107.1584215,63.95711212,140.62133138
113,2,c2.jpg,1,-10.86689059,112.1525504,-16.14813456,181.9067742,90.34586412,-101.21275471
113,2,c13.jpg,2,116.3766345,25.1106363,96.44127327,15.00633744,-115.8269638,232.2035983
113,2,c8.jpg,3,-19.50830543,63.59466698,57.00056998,-40.2492006,29.20277092,-48.71107635
113,2,c11.jpg,4,-112.5333556,-50.37242331,127.7571934,120.8516478,46.35037676,-158.88373236
113,2,c6.jpg,5,-32.29247584,12.3569946,39.91872215,-5.014573205,88.19422974,-120.48670558
113,2,c21.jpg,6,-5.09595295,-28.2748499,-35.66939571,60.72125024,38.20398543,-43.29993838
113,2,c18.jpg,7,103.0486983,-73.8032792,-124.1695854,21.65676702,21.98471755,81.06398075
113,2,c1.jpg,8,-20.3199501,4.453058845,62.48549121,-91.05298242,68.12685259,-88.44680269
113,2,c19.jpg,9,75.12701819,-1.744700608,-155.535037,64.37637187,-8.741666593,83.868684783
113,2,c10.jpg,10,117.0210249,2.591047438,129.2456264,-133.1328716,-52.57691846,169.59794336
113,2,c16.jpg,11,79.85358552,-71.19837668,127.5255798,13.55923306,-7.446897356,87.30048287599999
113,2,c17.jpg,12,35.83810915,15.3669806,-24.5584784,-96.76894019,-62.49494412,98.33305327
114,1,c7.jpg,1,176.1765744,112.2070649,47.46502797,22.84000367,11.86606022,164.31051417999998
114,1,c9.jpg,2,-77.98709976,21.63377748,-57.58231844,-41.51871498,150.0610611,-228.04816086
114,1,c3.jpg,3,68.1070363,82.18947067,102.5908521,71.20381926,71.18252804,-3.0754917399999897
114,1,c5.jpg,4,55.30190917,122.288508,-23.57626025,45.90063714,78.64797218,-23.346063009999995
114,1,c14.jpg,5,63.94859947,-9.457007608,88.58179594,96.79955029,47.18642772,16.76217175
114,1,c23.jpg,6,93.35303092,44.34432909,124.4880452,97.20932095,-55.55482496,148.90785588
114,1,c12.jpg,7,157.1261971,-38.781408,37.27878878,54.22935766,30.03633898,127.08985812000002
114,1,c20.jpg,8,96.19405248,50.06992421,115.438485,28.82396214,-2.893401337,99.087453817
114,1,c15.jpg,9,43.90308359,125.8139052,61.95142987,-86.21814831,-12.24577603,56.14885962
114,1,c4.jpg,10,-40.01158247,152.5697295,1.697381647,51.82376269,11.22580327,-51.23738574
114,1,c24.jpg,11,13.86494603,82.92077278,120.1679702,19.22571978,99.78613106,-85.92118503
114,1,c22.jpg,12,143.9357734,43.81498043,13.59967036,119.9749574,151.0692531,-7.133479700000009
115,1,c9.jpg,1,-29.54311446,128.4962552,85.56243471,96.05586584,22.24069378,-51.78380824
115,1,c22.jpg,2,48.64221436,108.173205,146.5070146,131.1227989,134.4324661,-85.79025174
115,1,c4.jpg,3,66.98717376,60.02301982,187.9879636,41.74186699,119.5826388,-52.59546503999999
115,1,c15.jpg,4,65.62525847,105.5755119,169.0803853,69.31360341,115.1649724,-49.53971392999999
115,1,c24.jpg,5,25.76159474,204.3052764,-34.65783319,141.0918459,115.4356482,-89.67405346000001
115,1,c5.jpg,6,150.1053383,63.9240096,103.8528069,169.6175372,-9.863672958,159.969011258
115,1,c12.jpg,7,152.2957187,102.6469266,155.345122,13.3292644,89.11355438,63.18216432000001
115,1,c20.jpg,8,148.3197607,188.9139984,139.3846892,-7.663435378,15.62339631,132.69636438999999
115,1,c7.jpg,9,134.2590595,12.595918,6.792457461,121.7201694,77.98789221,56.27116729000001
115,1,c14.jpg,10,268.1249015,66.31667941,196.231507,208.3249045,-8.552867632,276.67776913200004
115,1,c3.jpg,11,243.9613103,208.3170854,91.34930601,173.6211454,162.2318377,81.72947260000001
115,1,c23.jpg,12,78.58067913,212.9140563,51.03548254,44.02126927,-13.3556123,91.93629143
116,2,c13.jpg,1,18.41473263,62.38790083,-92.31932537,-81.05010397,96.63381421,-78.21908158
116,2,c6.jpg,2,133.2390979,283.2508532,114.6587243,25.79338106,118.8182088,14.420889099999997
116,2,c18.jpg,3,175.0296606,43.63526289,61.73073397,-16.17963536,273.4023298,-98.37266920000002
116,2,c11.jpg,4,153.5302287,58.93245148,120.1767607,117.8203594,42.75806888,110.77215982000001
116,2,c17.jpg,5,188.9820323,-19.30044782,6.027907146,191.3493794,96.72550318,92.25652911999998
116,2,c2.jpg,6,98.64682413,104.1494823,270.2305381,40.68133281,109.4399675,-10.793143369999996
