sub,block,stim,stim_num,phc1,phc5,decrease
103,2,c3.jpg,1,121.4261718,-101.8621475,223.2883193
103,2,c20.jpg,2,39.28079219,-16.15239531,55.4331875
103,2,c12.jpg,3,-33.96911716,277.1597964,-311.1289136
103,2,c24.jpg,4,-113.465727,-45.52077089,-67.94495611
103,2,c22.jpg,5,-32.48270444,-179.3781382,146.8954338
103,2,c14.jpg,6,7.39379667,57.30938032,-49.91558365
103,2,c9.jpg,7,-2.782403557,-74.71209928,71.92969572
103,2,c15.jpg,8,60.30917561,9.453955327,50.85522028
103,2,c7.jpg,9,-2.941273752,-63.69182692,60.75055317
103,2,c4.jpg,10,-28.92719998,-171.3184169,142.3912169
103,2,c23.jpg,11,76.12450713,-214.0535407,290.1780478
103,2,c5.jpg,12,152.4453839,-258.1099761,410.55536
105,1,c8.jpg,1,55.80122887,37.58520454,18.21602433
105,1,c1.jpg,2,27.10356888,-35.52234069,62.62590957
105,1,c18.jpg,3,-9.545737957,35.32218357,-44.86792153
105,1,c10.jpg,4,-7.13232961,56.31148093,-63.44381054
105,1,c17.jpg,5,21.58886362,-0.896823281,22.4856869
105,1,c16.jpg,6,164.5480591,21.05709715,143.4909619
105,1,c13.jpg,7,10.13962267,5.727856542,4.411766128
105,1,c6.jpg,8,83.01752665,114.0738691,-31.05634245
105,1,c2.jpg,9,66.71835333,59.25198873,7.4663646
105,1,c21.jpg,10,94.23729489,102.5284568,-8.29116191
105,1,c19.jpg,11,5.067895023,-64.04774363,69.11563865
105,1,c11.jpg,12,11.44348865,25.56869213,-14.12520348
106,1,c17.jpg,1,138.5002599,48.00243456,90.49782534
106,1,c8.jpg,2,31.25780131,14.2010355,17.05676581
106,1,c1.jpg,3,-27.92599824,13.98692469,-41.91292293
106,1,c11.jpg,4,-78.41409693,-28.9673235,-49.44677343
106,1,c2.jpg,5,145.2649323,38.59414359,106.6707887
106,1,c21.jpg,6,218.8041697,8.453797893,210.3503718
106,1,c6.jpg,7,142.416171,145.873456,-3.457285
106,1,c10.jpg,8,165.9683497,-62.71976918,228.6881189
106,1,c13.jpg,9,11.65126097,107.3085705,-95.65730953
106,1,c16.jpg,10,158.3709469,-111.2815506,269.6524975
106,1,c19.jpg,11,151.2077831,39.55281555,111.6549676
106,1,c18.jpg,12,205.1632778,2.27243154,202.8908463
107,2,c21.jpg,1,99.82830666,357.2774594,-257.4491527
107,2,c11.jpg,2,-187.807764,-41.96320235,-145.8445617
107,2,c6.jpg,3,73.29816469,-90.64701744,163.9451821
107,2,c1.jpg,4,-100.8374337,282.2555567,-383.0929904
107,2,c10.jpg,5,129.5758876,-33.56360253,163.1394901
107,2,c17.jpg,6,90.51839966,-271.2501811,361.7685808
107,2,c16.jpg,7,109.3642236,-267.6969058,377.0611294
107,2,c2.jpg,8,50.15462786,161.8566001,-111.7019722
107,2,c19.jpg,9,79.44126469,-257.4743818,336.9156465
107,2,c18.jpg,10,145.3793668,1.863264009,143.5161028
107,2,c8.jpg,11,-54.04320352,153.5534854,-207.5966889
107,2,c13.jpg,12,-614.2636945,414.8964822,-1029.160177
110,2,c15.jpg,1,-57.28391879,-91.12309111,33.83917232
110,2,c12.jpg,2,-66.36933409,-57.63480568,-8.73452841
110,2,c24.jpg,3,30.12227282,41.30745809,-11.18518527
110,2,c5.jpg,4,51.20678451,27.46089932,23.74588519
110,2,c14.jpg,5,2.005916106,-55.00707914,57.01299525
110,2,c4.jpg,6,-27.64967943,52.93992294,-80.58960237
110,2,c7.jpg,7,-54.59107922,5.878217904,-60.46929712
110,2,c22.jpg,8,10.59976804,-26.53370909,37.13347713
110,2,c23.jpg,9,-24.66915927,57.34043534,-82.00959461
110,2,c3.jpg,10,97.28150398,48.96525453,48.31624945
110,2,c20.jpg,11,94.95553505,117.8490904,-22.89355535
110,2,c9.jpg,12,76.19337905,6.98156636,69.21181269
111,1,c23.jpg,1,118.5669914,109.5351726,9.0318188
111,1,c12.jpg,2,44.16269061,-51.78820961,95.95090022
111,1,c3.jpg,3,-43.28961153,-149.7280905,106.438479
111,1,c9.jpg,4,44.84357983,-52.54396596,97.38754579
111,1,c5.jpg,5,58.18591956,97.47794348,-39.29202392
111,1,c24.jpg,6,-46.10993494,-49.53473958,3.42480464
111,1,c7.jpg,7,83.99136556,71.17807437,12.81329119
111,1,c15.jpg,8,119.7360505,94.75902828,24.97702222
111,1,c20.jpg,9,73.39552507,11.01379918,62.38172589
111,1,c4.jpg,10,110.2223488,22.14913037,88.07321843
111,1,c14.jpg,11,-68.48765289,-75.1425485,6.65489561
111,1,c22.jpg,12,77.04175876,-75.35672131,152.3984801
112,2,c2.jpg,1,346.9534519,195.1744871,151.7789648
112,2,c6.jpg,2,100.4266584,4.977540455,95.44911795
112,2,c11.jpg,3,52.85338253,92.17440401,-39.32102148
112,2,c16.jpg,4,240.9136164,111.7741042,129.1395122
112,2,c13.jpg,5,270.227906,280.597207,-10.369301
112,2,c19.jpg,6,122.6969771,97.0872968,25.6096803
112,2,c10.jpg,7,291.0148053,85.81502867,205.1997766
112,2,c18.jpg,8,278.8921432,138.1717187,140.7204245
112,2,c1.jpg,9,106.6549968,33.69768318,72.95731362
112,2,c21.jpg,10,172.3141001,254.0119051,-81.697805
112,2,c8.jpg,11,203.7120043,156.6075742,47.1044301
112,2,c17.jpg,12,204.5784435,63.95711212,140.6213314
113,2,c2.jpg,1,-10.86689059,90.34586412,-101.2127547
113,2,c13.jpg,2,116.3766345,-115.8269638,232.2035983
113,2,c8.jpg,3,-19.50830543,29.20277092,-48.71107635
113,2,c11.jpg,4,-112.5333556,46.35037676,-158.8837324
113,2,c6.jpg,5,-32.29247584,88.19422974,-120.4867056
113,2,c21.jpg,6,-5.09595295,38.20398543,-43.29993838
113,2,c18.jpg,7,103.0486983,21.98471755,81.06398075
113,2,c1.jpg,8,-20.3199501,68.12685259,-88.44680269
113,2,c19.jpg,9,75.12701819,-8.741666593,83.86868478
113,2,c10.jpg,10,117.0210249,-52.57691846,169.5979434
113,2,c16.jpg,11,79.85358552,-7.446897356,87.30048288
113,2,c17.jpg,12,35.83810915,-62.49494412,98.33305327
114,1,c7.jpg,1,176.1765744,11.86606022,164.3105142
114,1,c9.jpg,2,-77.98709976,150.0610611,-228.0481609
114,1,c3.jpg,3,68.1070363,71.18252804,-3.07549174
114,1,c5.jpg,4,55.30190917,78.64797218,-23.34606301
114,1,c14.jpg,5,63.94859947,47.18642772,16.76217175
114,1,c23.jpg,6,93.35303092,-55.55482496,148.9078559
114,1,c12.jpg,7,157.1261971,30.03633898,127.0898581
114,1,c20.jpg,8,96.19405248,-2.893401337,99.08745382
114,1,c15.jpg,9,43.90308359,-12.24577603,56.14885962
114,1,c4.jpg,10,-40.01158247,11.22580327,-51.23738574
114,1,c24.jpg,11,13.86494603,99.78613106,-85.92118503
114,1,c22.jpg,12,143.9357734,151.0692531,-7.1334797
115,1,c9.jpg,1,-29.54311446,22.24069378,-51.78380824
115,1,c22.jpg,2,48.64221436,134.4324661,-85.79025174
115,1,c4.jpg,3,66.98717376,119.5826388,-52.59546504
115,1,c15.jpg,4,65.62525847,115.1649724,-49.53971393
115,1,c24.jpg,5,25.76159474,115.4356482,-89.67405346
115,1,c5.jpg,6,150.1053383,-9.863672958,159.9690113
115,1,c12.jpg,7,152.2957187,89.11355438,63.18216432
115,1,c20.jpg,8,148.3197607,15.62339631,132.6963644
115,1,c7.jpg,9,134.2590595,77.98789221,56.27116729
115,1,c14.jpg,10,268.1249015,-8.552867632,276.6777691
115,1,c3.jpg,11,243.9613103,162.2318377,81.7294726
115,1,c23.jpg,12,78.58067913,-13.3556123,91.93629143
116,2,c13.jpg,1,18.41473263,96.63381421,-78.21908158
116,2,c6.jpg,2,133.2390979,118.8182088,14.4208891
116,2,c18.jpg,3,175.0296606,273.4023298,-98.3726692
116,2,c11.jpg,4,153.5302287,42.75806888,110.7721598
116,2,c17.jpg,5,188.9820323,96.72550318,92.25652912
116,2,c2.jpg,6,98.64682413,109.4399675,-10.79314337
116,2,c10.jpg,7,-5.090877028,82.90772543,-87.99860246
116,2,c21.jpg,8,106.5918437,-26.29893293,132.8907766
116,2,c8.jpg,9,200.0864462,76.57931694,123.5071293
116,2,c1.jpg,10,102.6728587,91.3008305,11.3720282
116,2,c16.jpg,11,179.1231466,89.49988245,89.62326415
116,2,c19.jpg,12,-22.88779946,108.9931117,-131.8809112
118,1,c14.jpg,1,-66.78363267,11.62829104,-78.41192371
118,1,c5.jpg,2,-66.46429514,-20.30304268,-46.16125246
118,1,c15.jpg,3,84.09054982,10.94686592,73.1436839
118,1,c4.jpg,4,-83.37930665,222.2706017,-305.6499084
118,1,c7.jpg,5,101.315411,63.66327976,37.65213124
118,1,c24.jpg,6,36.17221963,121.9691376,-85.79691797
118,1,c3.jpg,7,192.3046265,63.83157746,128.473049
