sub	cbVersion	trial	stim	freqCond	freqITI	freqTaskResp	freqTaskRT	freqTrialStart	freqTrialEnd	freqTrialITIStart	freqTrialITIEnd	taskVersion	block
141	1	49	 p21.jpg	1	3.09E+00	1	1.17E+00	2.93E+02	2.95E+02	2.95E+02	2.98E+02	 A	2
141	1	50	 p14.jpg	5	2.73E+00	2	1.46E+00	2.98E+02	3.00E+02	3.00E+02	3.03E+02	 A	2
141	1	51	 p13.jpg	5	4.18E+00	2	6.98E-01	3.03E+02	3.05E+02	3.05E+02	3.09E+02	 A	2
141	1	52	 p18.jpg	1	2	1	1.11E+00	3.09E+02	3.11E+02	3.11E+02	3.13E+02	 A	2
141	1	53	 p2.jpg	5	4.91E+00	2	1.10E+00	3.13E+02	3.15E+02	3.15E+02	3.20E+02	 A	2
141	1	54	 p9.jpg	5	3.09E+00	2	8.41E-01	3.20E+02	3.22E+02	3.22E+02	3.25E+02	 A	2
141	1	55	 p8.jpg	5	2.36E+00	2	7.42E-01	3.25E+02	3.27E+02	3.27E+02	3.30E+02	 A	2
141	1	56	 p8.jpg	5	5.27E+00	2	6.68E-01	3.30E+02	3.32E+02	3.32E+02	3.37E+02	 A	2
141	1	57	 p9.jpg	5	2	2	8.29E-01	3.37E+02	3.39E+02	3.39E+02	3.41E+02	 A	2
141	1	58	 p7.jpg	5	5.64E+00	2	1.37E+00	3.41E+02	3.43E+02	3.43E+02	3.48E+02	 A	2
141	1	59	 p5.jpg	1	6	1	1.19E+00	3.48E+02	3.50E+02	3.50E+02	3.56E+02	 A	2
141	1	60	 p11.jpg	5	4.91E+00	2	8.76E-01	3.56E+02	3.58E+02	3.58E+02	3.63E+02	 A	2
141	1	61	 p6.jpg	5	2.73E+00	2	1.47E+00	3.63E+02	3.65E+02	3.65E+02	3.68E+02	 A	2
141	1	62	 p7.jpg	5	4.55E+00	2	7.46E-01	3.68E+02	3.70E+02	3.70E+02	3.75E+02	 A	2
141	1	63	 p19.jpg	1	4.91E+00	1	1.35E+00	3.75E+02	3.77E+02	3.77E+02	3.82E+02	 A	2
141	1	64	 p2.jpg	5	5.64E+00	2	8.74E-01	3.82E+02	3.84E+02	3.84E+02	3.89E+02	 A	2
141	1	65	 p24.jpg	1	3.82E+00	1	1.18E+00	3.89E+02	3.91E+02	3.91E+02	3.95E+02	 A	2
141	1	66	 p3.jpg	5	3.09E+00	2	6.29E-01	3.95E+02	3.97E+02	3.97E+02	4.00E+02	 A	2
141	1	67	 p23.jpg	5	4.18E+00	2	9.44E-01	4.00E+02	4.02E+02	4.02E+02	4.06E+02	 A	2
141	1	68	 p17.jpg	1	2.73E+00	1	1.29E+00	4.06E+02	4.08E+02	4.08E+02	4.11E+02	 A	2
141	1	69	 p12.jpg	1	3.45E+00	1	1.15E+00	4.11E+02	4.13E+02	4.13E+02	4.16E+02	 A	2
141	1	70	 p13.jpg	5	3.82E+00	2	7.94E-01	4.16E+02	4.18E+02	4.18E+02	4.22E+02	 A	2
141	1	71	 p23.jpg	5	3.82E+00	2	8.61E-01	4.22E+02	4.24E+02	4.24E+02	4.28E+02	 A	2
141	1	72	 p4.jpg	5	4.91E+00	2	7.01E-01	4.28E+02	4.30E+02	4.30E+02	4.35E+02	 A	2
141	1	0	 beginningITI	 	3	 	 	 	 	0.00E+00	3.00E+00	 A	2
141	1	73	 endingITI	 	3	 	 	 	 	4.35E+02	4.38E+02	 A	2
141	1	74	 endScreen	 	6	 	 	 	 	4.38E+02	4.44E+02	 A	2
